species,cat_island,variation,polymorphism,WSC_ISO3,points_gbif,n_points,area_polygon,area_countries_wsc,lat_range,lat_range_wsc,cat_island_points,wsc,bin_island,centroid_lon,centroid_lat,eco_reg_points,eco_reg_polygon,temp_zones_points,temp_zones_polygon,bole_female,bole_male,source
Araneus_marmoreus,island_continent,yes,yes,"North America, Europe, Turkey, Caucasus, Russia, Europe, Iran, Central Asia, China, Korea, Japan",8936,5454,35998885.51,63701379.15,39.247297,68.87868535,island_continent,"north america,europe,turkey,caucasus,russia,iran,central asia,china,korea,japan",1,11.00424072,52.80719914,93,206,15,6,18,5.9,"Levi, H. W. (1971a). The diadematus group of the orb-weaver genus Araneus north of Mexico (Araneae: Araneidae). Bulletin of the Museum of Comparative Zoology 141: 131-179."
Araneus_quadratus,island_continent,yes,yes,"Europe, Turkey, Russia, Central Asia to China, Japan",14244,4203,14841640.16,40501283.35,30.773892,56.85398309,island_continent,"europe,turkey,russia,central asia,china,japan",1,57.81218709,53.72037828,45,88,14,19,20.5,11,https://araneae.nmbe.ch/data/972
Araneus_rotundulus,continent,no,no,Australia,81,32,64678.21933,7691990.893,6.352573,39.01717104,continent,australia,0,-27.41064723,32.84223668,2,2,1,3,4.5,NA,"Keyserling, E. (1887a). Die Arachniden Australiens, nach der Natur beschrieben und abgebildet. Zweiter Theil [Lieferung 35-36]. Bauer & Raspe, Nürnberg, 153-232, pl. 12-20."
Araneus_talipedatus,island_continent,yes,yes,Australia,335,176,3230373.598,7691990.893,18.276146,39.01717104,island_continent,australia,1,-31.34372367,24.2326561,11,27,7,12,7.1,NA,"Keyserling, E. (1887a). Die Arachniden Australiens, nach der Natur beschrieben und abgebildet. Zweiter Theil [Lieferung 35-36]. Bauer & Raspe, Nürnberg, 153-232, pl. 12-20."
Araneus_ventricosus,island_continent,no,no,"Russia, Korea, Japan, China, Taiwan",964,104,2850040.523,26959923.57,22.438222,39.52467199,island_continent,"russia,korea,japan,china,taiwan",1,118.179997,32.84223668,15,26,7,15,14,NA,"Uyemura, T. (1961). Studies on the variation, lineage and distribution of the Japanese spider, Araneus ventricosus (L. Koch) (s. lat.). Arachnological Society of East Asia, Osaka, 116 pp."
Araniella_cucurbitina,island_continent,no,no,"Europe, Turkey, Russia (Europe) to Central Asia, China, Korea",6832,4797,7500501.948,40349412.24,31.859034,56.85398309,island_continent,"europe,turkey,russia,central asia,china,korea",1,53.60239902,53.02739192,34,42,11,10,9.5,4.5,https://araneae.nmbe.ch/data/493/Araniella_cucurbitina
Araniella_displicata,island_continent,yes,yes,"North America, Europe, Russia, Kazakhstan, China, Korea, Japan",0,4911,35098734.55,60177167.37,39.78983,68.87868535,island_continent,"North America, Europe, Russia, Kazakhstan, China, Korea, Japan",1,62.71040721,49.04479017,88,234,16,8,7.4,4.4,"Tanikawa, A. (2009). Hersiliidae. Nephilidae, Tetragnathidae, Araneidae. In: Ono, H. (ed.) The spiders of Japan with keys to the families and genera and illustrations of the species. Tokai University Press, Kanagawa, pp. 149, 403-463. download pdf"
Aranoethra_cambridgei,continent,no,no,"West, Central Africa",19,1,0,5309580.286,0,18.21253469,continent,"west,central africa",0,0.946725,,1,1,1,1,16.93,,"Butler, A. G. (1873a). A monographic list of the species of Gasteracantha or crab-spiders, with descriptions of new species. Transactions of the Entomological Society of London 1873: 153-180."
Argiope_aetherea,island_continent,yes,yes,China to Australia,466,146,2266154.15,17065182.92,18.875103,62.19191331,island_continent,"china,australia",1,-20.04015614,-20.04015614,7,14,6,12,20,8,"Chrysanthus, P. (1958a). Spiders from south New Guinea I. Nova Guinea N.S. 9: 235-243"
Argiope_appensa,island,yes,yes,"Taiwan, New Guinea, Southeast Asia",1071,97,1229274.621,4937837.545,23.499347,32.55688327,island,"taiwan,new guinea,southeast asia",1,0.044250208,0.044250192,12,29,3,8,22,NA,"Marapao, B. P. (1965). Three species of spiders of the subfamily Argiopidae [sic] from Cebu. Junior Philippine Scientist 2: 43-55."
