species,cat_island,polymorphism,WSC_ISO3
Lasaeola_tristis,island_continent,no,"Europe, Kazakhstan, Iran, Central Asia, Russia (South Siberia)"
Latrodectus_geometricus,island_continent,no,Africa
Latrodectus_mactans,continent,no,North America
Latrodectus_renivulvatus,continent,yes,"Africa, Iraq"
Leucauge_venusta,NA,NA,NA
Leviana_dimidiatus,NA,NA,NA
Leviana_mulieraria,NA,no,Australia
Macracantha_arcuata,island_continent,yes,"India, Sri Lanka, China, Myanmar, Thailand, Cambodia, Indonesia"
Madacantha_nossibeana,NA,no,Madagascar
Mangora_gibberosa,island_continent,no,North America
Mastophora_apalachicola,NA,no,USA
Mastophora_archeri,NA,no,USA
Mastophora_bisaccata,continent,no,"USA, Mexico"
Mastophora_cornigera,continent,no,"USA, Central America"
Mastophora_hutchinsoni,island_continent,no,"USA, Canada"
Mastophora_phrynosoma,continent,no,USA
Mastophora_stowei,continent,no,USA
Mecynogea_lemniscata,island_continent,no,"USA, Central America, South America"
Meotipa_sp,NA,NA,NA
Meta_ovalis,NA,NA,NA
Metazygia_wittfeldae,continent,no,"North America, Central America"
Metellina_segmentata,NA,NA,NA
Metepeira_21,NA,NA,NA
Micrathena_gracilis,continent,no,"North, Central America"
Micrathena_militaris,island,no,Greater Antilles
Micrathena_sagittata,island_continent,no,"North America, Central America"
Moneta_sp,NA,NA,NA
Neoscona_crucifera,island_continent,NA,North America
Neoscona_domiciliorum,island_continent,no,USA
Neoscona_mellotteei,island_continent,no,"China, Korea, Taiwan, Japan"
Neoscona_mukerjei,continent,yes,"Pakistan, India, Bangladesh"
Neoscona_punctigera,island_continent,yes,"Reunion, India, Myanmar, China, Korea, Japan, Indonesia, Philippines, New Guinea, Australia"
Neoscona_scylla,island_continent,yes,"Russia, Pakistan, China, Korea, Japan"
Neoscona_subfusca,island_continent,yes,"Southern Europe, Africa, Turkey, Middle East, Ukraine, Caucasus, Russia, Tanzania, Equatorial Guinea"
Neoscona_subpullata,NA,yes,"China, Korea, Japan"
Neoscona_theisi,island_continent,no,"Cyprus, Israel, Caucasus, Iran, Pakistan, India, Nepal, Philippines, China to Indonesia, Japan, Australia., , Vietnam, New Caledonia, West, Central, East Africa, Mozambique, South Africa, Eswatini, Yemen, New Guinea"
Neospintharus_trigonum,island_continent,no,"USA, Canada"
Neottiura_bimaculata,island_continent,no,"North America, Russia, Kazakhstan, Iran, Central Asia, China, Japan, Spain, France, Italy"
Nephilengys_malabarensis,island_continent,no,"India, China, South Asia, Southeast Asia, Philippines, Indonesia, Japan"
Neriene,NA,NA,NA
Nesticodes_rufipes,island_continent,no,Central and South America
Novakiella_trituberculosa,island_continent,no,"Australia, New Zealand"
Nuctenea_umbratica,island_continent,no,"Europe, Azerbaijan, Iran"
Ocrepeira_ectypa,continent,no,USA
Ohlertidion_ohlerti,continent,no,North America
Paidiscura_pallens,island_continent,yes,"Europe, Georgia, Russia, South Siberia"
Paralarinia_199,NA,NA,NA
Paraplectana_tsushimensis,island_continent,no,"China, Taiwan, Japan"
Paraplectanoides_crassipes,island_continent,no,Australia
Parasteatoda_tabulata,continent,no,Tropical Asia
Parawixia_dehaani,island_continent,NA,"India, Southeast Asia, Philippines, Indonesia, New Guinea"
Parawixia_kochi,NA,NA,"Trinidad and Tobago, Brazil, Guyana, French Guiana"
Parmatergus_116,NA,NA,NA
Pasilobus_122,NA,NA,NA
Perilla_teres,NA,no,"Myanmar, Vietnam, Malaysia"
Pholcomma_hirsutum,continent,no,USA
Phonognatha_graeffei,island_continent,no,Australia
Phoroncidia_americana,continent,no,"USA, Jamaica"
Phoroncidia_sp,NA,NA,NA
Phycosoma_mustelinum,island_continent,no,"Russia, Japan, Indonesia"
Phylloneta_impressa,island_continent,no,"North America, Russia, Europe, Kazakhstan, Iran, Central Asia, China, India"
Phylloneta_pictipes,island_continent,no,USA
Pimoa_121,NA,NA,NA
Platnickina_alabamensis,continent,no,USA
Platnickina_mneon,continent,no,South America
Platnickina_punctosparsa,continent,no,USA
